property_name,square_feet,transaction,status,furnishing,facing,description,price_per_sqft,price_lakhs,floor_number,total_floors,area_name,property_type
1 BHK Builder Floor for Sale in Kamrej Surat,590.0,Resale,Ready to Move,Unfurnished,Unknown,It's a 3rd floor Builder Floor Apartment in a building of total 3 floors. The Builder Floor Apartment construction is more than 5 to 10 years old. Read more,2333.0,17.5,3.0,3.0,Carpet,Area
2 BHK Builder Floor for Sale in Kosamba Surat,650.0,Resale,Ready to Move,Furnished,Unknown,,1462.0,9.5,2.0,5.0,Super,Area
"2 BHK Apartment for Sale in Silver Plaza Complex, Rander Surat",1100.0,Resale,Ready to Move,Unfurnished,Unknown,,3636.0,40.0,7.0,13.0,Super,Area
Office Space for Sale in Pandesara Surat,1120.0,Unknown,Ready to Move,Unknown,Unknown,,3839.0,43.0,,,Super,Area
2 BHK Apartment for Sale in Saroli Surat,1250.0,Unfurnished,11 out of 14,2,Unknown,,3600.0,45.0,,,Super,Area
2 BHK Builder Floor for Sale in Udhana Darwaja Surat,650.0,Resale,Ready to Move,Unfurnished,Unknown,,3462.0,22.5,2.0,3.0,Super,Area
"3 BHK Builder Floor for Sale in Swami Twin City 5, Sachin Surat",1400.0,Resale,Ready to Move,Furnished,Unknown,,3571.0,50.0,3.0,5.0,Super,Area
1 BHK Builder Floor for Sale in Kailash Nagar Surat,400.0,Resale,Ready to Move,Furnished,Unknown,,2375.0,9.5,2.0,4.0,Super,Area
1 BHK Apartment for Sale in Adajan Surat,650.0,Resale,Ready to Move,Furnished,Unknown,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,3308.0,21.5,2.0,4.0,Super,Area
"1 BHK Apartment for Sale in Sai Milan Residency, Palanpur Surat",449.0,Resale,Ready to Move,Semi-Furnished,South,,3582.0,24.0,3.0,5.0,Carpet,Area
1 BHK Apartment for Sale in Hari Pura Surat,660.0,Resale,Ready to Move,Unfurnished,Unknown,,3030.0,20.0,4.0,5.0,Super,Area
"2 BHK Apartment for Sale in Shyam enclave, Jahangirabad Surat",1272.0,Resale,Ready to Move,Unfurnished,Unknown,,2980.0,37.9,3.0,14.0,Super,Area
Office Space for Sale in Vesu Surat,160.0,Resale,Ready to Move,4,Unknown,,8125.0,26.0,2.0,4.0,Carpet,Area
1 BHK  House for Sale in Kamrej Surat,475.0,New Property,Ready to Move,Unfurnished,East,building with quality::Hall::Bedroom with Attched bathroom::Bathroom::Washroom::ParkingRead more,4159.0,23.5,1.0,,Carpet,Area
"1 BHK Apartment for Sale in Majura Gate Surat, Majura Gate Surat",350.0,Resale,Ready to Move,Unfurnished,Unknown,,2667.0,10.0,2.0,4.0,Carpet,Area
Industrial Land for Sale in Adajan Surat,2240.0,Unknown,Resale,Unknown,Unknown,"RJD textiles park,ichhapore,surat-hazira road,",1786.0,40.0,,,Built,Area
Shop for Sale in Vraj chowk SARTHANA raj impiriya Surat,318.0,Resale,Ready to Move,Unknown,Unknown,,11006.0,35.0,1.0,,Super,Area
2 BHK Apartment for Sale in Akshar enterprise intercity complex Dumbhal Surat,500.0,Resale,Ready to Move,Unfurnished,Unknown,very good property 600 maintanence beautiful temple in camps,2667.0,16.0,4.0,,Carpet,Area
1 BHK  House for Sale in Punagam Surat,455.0,Resale,Ready to Move,Unfurnished,Unknown,,,21.0,2.0,,Carpet,Area
2 BHK Builder Floor for Sale in Gopi Pura Surat,900.0,Resale,Ready to Move,Furnished,Unknown,,2444.0,22.0,4.0,,Super,Area
"1 BHK Apartment for Sale in True Reality Shree Umiya Residency, Udhna Surat",825.0,Resale,Ready to Move,Unfurnished,Unknown,,2364.0,19.5,2.0,5.0,Super,Area
1 BHK  House for Sale in Palanpur Gam Surat,630.0,Semi-Furnished,Ready to Move,1 Covered,Unknown,"This Residential House is built over 1 floors. The construction has been done keeping in view family needs for space & utility. Great deal, please contact immediately. The age of construction for this Residential House is between 10 to 15 years. Read more",7460.0,47.0,,,Super,Area
"2 BHK Apartment for Sale in Orchid Greens, Palanpur Surat",750.0,Resale,Ready to Move,Unfurnished,Unknown,,3440.0,43.0,7.0,14.0,Carpet,Area
1 BHK Apartment for Sale in Mota Varachha Surat,730.0,Resale,Ready to Move,Unfurnished,Unknown,,2329.0,17.0,4.0,4.0,Super,Area
2 BHK Apartment for Sale in Utran Surat,850.0,Resale,Ready to Move,Semi-Furnished,South,,3361.0,40.0,5.0,5.0,Carpet,Area
"2 BHK Apartment for Sale in Shrungal Palace, Bamroli Surat",1236.0,New Property,Ready to Move,Unfurnished,East,2 bhk flats for sell in bamroli road prime location in Bamroli AreaRead more,3948.0,48.8,5.0,13.0,Super,Area
"Shop for Sale in Arihant Complex, Udhna Surat",380.0,Resale,Ready to Move,Unknown,Unknown,Commercial shop is available for sale. It is a good location property. Please contact for more details.Read more,2632.0,10.0,5.0,,Carpet,Area
1 BHK Builder Floor for Sale in Pal Surat,575.0,Resale,Ready to Move,Unfurnished,Unknown,It's a 4th floor Builder Floor Apartment in a building of total 4 floors. This spacious Builder Floor Apartment was constructed approx. 10 to 15 years years back. Read more,3652.0,21.0,4.0,4.0,Super,Area
"2 BHK Apartment for Sale in JT Stuti Highland, Palanpur Surat",900.0,Resale,Ready to Move,Semi-Furnished,Unknown,,3527.0,45.0,10.0,13.0,Carpet,Area
Shop for Sale in Surat Surat,230.0,Resale,Ready to Move,Unknown,Unknown,,7391.0,17.0,1.0,4.0,Super,Area
"2 BHK Apartment for Sale in Aditya Vrundavan Heights, Dindoli Surat",1120.0,Resale,Ready to Move,Furnished,Unknown,,,35.0,5.0,11.0,Carpet,Area
"2 BHK Apartment for Sale in Silver Plaza Complex, Rander Surat",878.0,Resale,Ready to Move,Unfurnished,Unknown,,3304.0,38.0,1.0,7.0,Carpet,Area
Shop for Sale in Adajan Surat,135.0,New Property,Ready to Move,Unknown,Unknown,,12000.0,27.0,1.0,,Carpet,Area
1 BHK Builder Floor for Sale in Kailash Nagar Surat,300.0,Resale,Ready to Move,Semi-Furnished,Unknown,,2667.0,8.0,2.0,5.0,Super,Area
2 BHK Apartment for Sale in Swayam Residency Surat,1200.0,Resale,Ready to Move,Semi-Furnished,East,"Three sides open, Perfact wind direction.",3500.0,42.0,4.0,5.0,Super,Area
2 BHK Villa for Sale in Kim Surat,265.0,Unfurnished,Ready to Move,West,Unknown,Its a 2BHK lavish Weekend Villa with Private Swmming Pool and Garden. It also has 2 big Common Gardens and Children Play area.Read more,3635.0,36.0,,,Carpet,Area
Plot/Land for Sale in Amroli Surat,270.0,4,Freehold,1,Unknown,A residential plot is available for sale. It is located in a very good area. Please contact for more details.Read more,11481.0,31.0,,,Plot,Area
2 BHK Apartment for Sale in Athawa Lines Surat,669.0,Resale,Ready to Move,Furnished,Unknown,Multistory apartment is available for sale. It is a good location property. Please contact for more details.Read more,6726.0,45.0,1.0,10.0,Super,Area
"2 BHK Apartment for Sale in Nest Buildcon Rhythm Residency and Plaza, Amroli Surat",1013.0,Resale,Ready to Move,Semi-Furnished,East,Freehold Multistorey Apartment faces East direction,2566.0,26.0,5.0,5.0,Super,Area
3 BHK  House for Sale in Astoria Greens Surat,1600.0,Resale,Ready to Move,Unfurnished,South,The property is situated in a well planned locality with wide roads and lush greenery. Situated at outskirts of surat city with clean environment and peaceful ambience.Read more,5181.0,50.0,1.0,2.0,Carpet,Area
Shop for Sale in Gopi Pura Surat,500.0,Resale,Ready to Move,Unknown,Unknown,,6800.0,34.0,4.0,,Super,Area
Office Space for Sale in Pal Gam Surat,299.0,New Property,Ready to Move,1,Unknown,Commercial Office Space is located on 2nd floor. It faces North - West direction. The type of ownership is Freehold. Modern construction is done in this newly built Commercial Office Space. Read more,6667.0,20.0,2.0,4.0,Carpet,Area
2 BHK Apartment for Sale in Bhatar Surat,1066.0,Resale,Ready to Move,Unfurnished,East,The flat is on the 9th floor it is near the local market and hospitals in the walking distance It has 3 balconies and full air circulation from all the balconies.Read more,3752.0,40.0,9.0,10.0,Carpet,Area
Plot/Land for Sale in Narthan Surat,1188.0,Resale,9.42 X 126,2,Unknown,,2946.0,35.0,,,Plot,Area
2 BHK Apartment for Sale in Majura Gate Surat,,Furnished,4 out of 5,2,Unknown,This spacious Multistorey Apartment is located at 4th floor in a tower of total 5 floors. This spacious Multistorey Apartment was constructed approx. 15 to 20 years years back. Read more,,30.0,,,,Status
Industrial Land for Sale in Olpad Sayan Road Surat,1280.0,Unknown,Resale,Unknown,Unknown,,2500.0,32.0,,,Built,Area
Office Space for Sale in Adajan Surat,650.0,Resale,Ready to Move,Unknown,Unknown,,5385.0,35.0,3.0,7.0,Super,Area
"Plot/Land for Sale in Shri Sai Swami  residency , kim Nr swaminarayan mandi Surat",648.0,Unknown,Resale,Unknown,Unknown,,1852.0,12.0,,,Plot,Area
2 BHK Builder Floor for Sale in Palsana Kadodara Highway Surat,753.0,Resale,Ready to Move,Semi-Furnished,Unknown,Builder Floor Apartment is located at the advantageous 3rd floor in a tower of total 4 floors. The age of construction for this apartment Builder Floor Apartment is Less than 5 years. Read more,1661.0,12.5,3.0,4.0,Super,Area
"1 BHK Apartment for Sale in Nova Residency, Jahangir Pura Surat",740.0,Resale,Ready to Move,Semi-Furnished,North,It's a 4th floor Multistorey Apartment in a building of total 5 floors. Read more,2973.0,22.0,4.0,5.0,Super,Area
5 BHK  House for Sale in Kamrej Char Rasta Surat,12.0,Semi-Furnished,Ready to Move,3,Unknown,,,40.0,,,Carpet,Area
"Office Space for Sale in Aakash Business Centre, Piplod Surat",1100.0,New Property,Ready to Move,2,Unknown,"Main Road Facing Property, Suitable for office space",45.0,1.0,4.0,4.0,Carpet,Area
Plot/Land for Sale in Udhana Surat,300.0,Resale,25 X 12,1,Unknown,,4503.0,13.5,,,Plot,Area
"Shop for Sale in Gruham Empire, Amroli Surat",293.0,Resale,Ready to Move,Unknown,Unknown,"Main road facing, well maintained, good condition, personal washroom.Read more",5802.0,17.0,1.0,4.0,Carpet,Area
1 BHK Apartment for Sale in Rander Road Surat,575.0,Resale,Ready to Move,Unfurnished,Unknown,It’s a 1RK property,2783.0,16.0,2.0,4.0,Super,Area
"2 BHK Apartment for Sale in Vaishnodevi Amour Jahagirabad, Jahangirabad Surat",1190.0,Resale,Ready to Move,Unfurnished,Unknown,"This Flat has a covered area of 1190 Sq-ft is on level 1 of 5 floors. Offering 2 bedroom along with 2 bathrooms, the Flat is Unfurnished. This is a well apppointed Flat in Jahangir Pura. There is space for car parking facility. Approx 32 Lac is the cost of the Flat. Read more",2689.0,32.0,1.0,5.0,Super,Area
"1 BHK Apartment for Sale in Rameshwaram Terrace, Pal Gam Surat",750.0,Resale,Ready to Move,Unfurnished,East,,3733.0,28.0,3.0,5.0,Super,Area
"Shop for Sale in Arihant Complex, Udhna Surat",150.0,Resale,Ready to Move,Unknown,Unknown,,6333.0,9.5,6.0,,Carpet,Area
"3 BHK Apartment for Sale in Shantam Apartment, Sagrampura Surat",1250.0,Resale,Ready to Move,Semi-Furnished,Unknown,Center of city very near to market area ring road,,38.0,3.0,4.0,Carpet,Area
"2 BHK Apartment for Sale in Raj Hans Society, Adajan Patiya Surat",1150.0,Resale,Ready to Move,Unfurnished,East,,3304.0,38.0,5.0,5.0,Super,Area
2 BHK Apartment for Sale in Kailash Nagar Surat,870.0,Resale,Ready to Move,Semi-Furnished,Unknown,,,26.0,5.0,,Carpet,Area
Plot/Land for Sale in Masma Village Surat,810.0,10 m,Resale,No,Unknown,"A residential plot is available for sale. It has a plot area of 810 sq-ft, it is located in a very good area. Please contact for more details.Read more",1790.0,14.5,1.0,,Plot,Area
1 BHK  House for Sale in Palan Pur Patiya Surat,700.0,Resale,Ready to Move,Semi-Furnished,Unknown,Palanpur jakatnaka hp gas godown.,3429.0,24.0,4.0,5.0,Super,Area
2 BHK Apartment for Sale in Anand Mahal Road Surat,970.0,Resale,Ready to Move,Unfurnished,West,"2 BHK with Dastaveg and title clear, EW direction, 1 alloted car parking, Main road Facing, spacious, great lightingRead more",2667.0,32.0,4.0,10.0,Carpet,Area
"1 BHK Apartment for Sale in Amroli, Surat Surat",660.0,Resale,Ready to Move,Unfurnished,Unknown,,2424.0,16.0,3.0,5.0,Super,Area
1 BHK Builder Floor for Sale in Katar Gam Surat,550.0,Resale,Ready to Move,Semi-Furnished,Unknown,,1818.0,10.0,4.0,4.0,Super,Area
3 BHK Apartment for Sale in Kamrej char charasta  Surat,1500.0,New Property,Ready to Move,Furnished,Unknown,This spacious Multistorey Apartment is located at 7th floor in a tower of total 10 floors. Modern construction is done in this newly built Multistorey Apartment. Read more,2667.0,40.0,7.0,10.0,Super,Area
Plot/Land for Sale in Pal Gam Surat,567.0,Yes,Resale,Unknown,Unknown,,7496.0,42.5,3.0,,Plot,Area
"2 BHK Apartment for Sale in Crystal Avenue, Palanpur Gam Surat",700.0,Resale,Ready to Move,Semi-Furnished,Unknown,Multistorey apartment is available for sale. It is a good location property. Please contact for more details.Read more,,45.0,4.0,5.0,Carpet,Area
Shop for Sale in VIP Road Surat,550.0,Resale,Ready to Move,"1 Covered,",Unknown,"Its rented property,Rent with Samsung mobile service center agreement with 3 year and 5percentage rent increase per yearRead more",5385.0,35.0,1.0,4.0,Carpet,Area
2 BHK Apartment for Sale in Nan Pura Surat,820.0,Resale,Ready to Move,Furnished,Unknown,"West facing, 24 hrs power and running water availability. Open terrace area for all. Strong construction, has passed in the test reports of s. M. CRead more",2317.0,19.0,8.0,9.0,Super,Area
3 BHK Apartment for Sale in Amroli Surat,1300.0,Resale,Ready to Move,Unfurnished,South,,3077.0,40.0,1.0,4.0,Super,Area
Shop for Sale in Varachha Surat,30.0,Resale,Ready to Move,1 Open,Unknown,"pre lease ground floor shop for sale, Very good and well maintain complexRead more",10174.0,35.0,3.0,,Carpet,Area
"2 BHK  House for Sale in Swarg Residency, Olpad Surat",80.0,Semi-Furnished,Ready to Move,East,Unknown,"A residential house is available for sale. It carpet area of 80 sq-m, it is a good location. Please contact for more details.Read more",,22.0,,,Carpet,Area
3 BHK Builder Floor for Sale in Kailash Nagar Surat,1600.0,Resale,Ready to Move,Semi-Furnished,Unknown,,1562.0,25.0,4.0,5.0,Super,Area
"2 BHK Apartment for Sale in Aditya Vrundavan Heights, Dindoli Surat",1120.0,Resale,Ready to Move,Unfurnished,Unknown,,2946.0,33.0,6.0,11.0,Super,Area
"2 BHK Apartment for Sale in Saradar Complex, Adajan Surat",660.0,Resale,Ready to Move,Furnished,Unknown,,2787.0,24.0,4.0,4.0,Carpet,Area
"2 BHK Apartment for Sale in Siddhi Vinayak Green, Laskana Surat",710.0,Resale,Ready to Move,Unfurnished,Unknown,,2839.0,32.0,4.0,5.0,Carpet,Area
"Office Space for Sale in Universal The Boulevard, Surat City Surat",614.0,Resale,Ready to Move,1,Unknown,Office in 4th FloorOffice No. 428Cost To Cost Sell.,6840.0,42.0,4.0,5.0,Super,Area
1 BHK Apartment for Sale in Amroli Surat,716.0,Resale,Ready to Move,Semi-Furnished,Unknown,The Value of this Home is fixed at 18 Lac. It offers 716 Sq-ft of covered area. It lies on fourth level out of 5 floors in its building and is also good space to live in. The Home has 1 bathroom and has 1 balconies. This is a 1 BHK flat in Amroli. Read more,2514.0,18.0,4.0,5.0,Super,Area
"2 BHK Apartment for Sale in Swapna Srusthi Residency Plots, Bhestan Surat",850.0,Resale,Ready to Move,Unfurnished,East,"Farnicher free ,kitchen fully  furnished, 2 palung,2 four doors kabat, big tv unit, ro water system, Geyser hot and cold water, 5 tub light,Read more",2731.0,23.2,3.0,5.0,Carpet,Area
2 BHK Builder Floor for Sale in Nan Pura Surat,1000.0,Resale,Ready to Move,Furnished,Unknown,Builder Floor Apartment is located at the advantageous 4th floor in a tower of total 4 floors. It is a relatively new property with construction age less than 5 yrs. Read more,3500.0,35.0,4.0,4.0,Super,Area
Plot/Land for Sale in Masma Surat,918.0,2,Resale,12 m,Unknown,"Superb location, great for residential purposes. A residential plot available in Masma, Surat available for immediate sale. This opportunity for investment should not be missed. Buy now to get maximum returns in future. Please contact immediately for more information. Read more",2179.0,20.0,3.0,,Plot,Area
"2 BHK Apartment for Sale in Gordhan Green Valley, Dindoli Surat",1064.0,New Property,Ready to Move,Unfurnished,Unknown,Multistorey apartment is available for sale. It has covered area 1064 sq-ft. Please contact for more details.Read more,3289.0,35.0,3.0,5.0,Super,Area
"Shop for Sale in Sai Luxuria, Kosad Surat",300.0,Resale,Ready to Move,Unknown,Unknown,,7692.0,25.0,11.0,,Carpet,Area
Plot/Land for Sale in Palsana Surat,480.0,1,Freehold,1,Unknown,"Residential plot is available for sale. It has a plot area of 480 sq-ft, it is a good location property. Please contact for more details.Read more",938.0,4.5,,,Plot,Area
2 BHK  House for Sale in Parvat Patiya Surat,1000.0,Resale,Ready to Move,Semi-Furnished,East,"Near to market 3 km, all food market, vegetable market, doctor house,.Read more",2667.0,20.0,3.0,3.0,Carpet,Area
2 BHK Builder Floor for Sale in Adajan Surat,1025.0,Resale,Ready to Move,Semi-Furnished,Unknown,,3415.0,35.0,4.0,5.0,Super,Area
2 BHK Villa for Sale in Kim Surat,3240.0,Furnished,Ready to Move,2,Unknown,,1080.0,35.0,,,Super,Area
Shop for Sale in Kamrej Surat,300.0,Resale,Ready to Move,Unknown,Unknown,Commercial shop is available for sale.,6000.0,18.0,1.0,,Super,Area
2 BHK Apartment for Sale in Adajan Surat,1380.0,Resale,Ready to Move,Unfurnished,Unknown,,2862.0,39.5,2.0,4.0,Super,Area
Plot/Land for Sale in Jain Nagar Surat,900.0,1,Freehold,Yes,Unknown,Residential plot is available for sale. It is located on very prime location. It has well equipped basic amenities and facilities.Read more,389.0,3.5,,,Plot,Area
Office Space for Sale in Ring Road Surat,190.0,Resale,Ready to Move,Unknown,Unknown,,9474.0,18.0,4.0,6.0,Carpet,Area
"2 BHK Apartment for Sale in JAHANGIRABAD, UGAT BHESAN ROAD Surat",512.0,Semi-Furnished,Ready to Move,1,Unknown,,,15.5,2.0,13.0,Carpet,Area
Shop for Sale in Kim Surat,200.0,Resale,Ready to Move,Unknown,Unknown,Best location near railway station  sabji mandi  school,7500.0,15.0,3.0,,Super,Area
Industrial Land for Sale in Surat,1116.0,Unknown,Resale,Unknown,Unknown,,1120.0,12.5,,,Built,Area
3 BHK Villa for Sale in Florence residence narthan Adajan Surat,1000.0,Unfurnished,Ready to Move,3,Unknown,,2300.0,23.0,,,Super,Area
1 BHK Apartment for Sale in indrajit Apartment near Milk Palace Surat,530.0,Resale,Ready to Move,Unfurnished,Unknown,best Location Bhatar Road Near LB Cinema All general Store sabji market hospital Temple gurudwara each and everything near 100 meter areaRead more,2714.0,19.0,1.0,3.0,Carpet,Area
2 BHK  House for Sale in Amroli Surat,840.0,Unfurnished,Ready to Move,1 Covered,Unknown,This spacious Residential House was constructed approx. 5 to 10 years years back. Read more,5357.0,45.0,,,Super,Area
"1 BHK Apartment for Sale in Millenium Park, Dindoli Surat",350.0,Resale,Ready to Move,Unfurnished,Unknown,This one is a 1 bed room flat in Amroli. It is located on 4th level from 4 floors in all and is also well ventilated. The Unit is Unfurnished and also has Ceramic Tiles flooring. The Price for this Unit is 10 Lac. It has 350 Sq-ft of covered area. The society has None elevator for residents in a tower. . The Unit has 1 bathrooms and 1 airy balconies.Read more,2857.0,10.0,4.0,4.0,Super,Area
"Office Space for Sale in Samarth Park, Adajan Surat",1100.0,Resale,Ready to Move,1 Covered,Unknown,Commercial Office Space is located at the advantageous Ground floor in a tower of total 10 floors. FLRADVThis Commercial Office Space was constructed approx. 10 to 15 years years back.Read more,2409.0,26.5,3.0,4.0,Super,Area
Office Space for Sale in Adajan Surat,350.0,Resale,Ready to Move,1,Unknown,,9143.0,32.0,1.0,1.0,Super,Area
1 BHK Villa for Sale in Masma Surat,800.0,Unfurnished,Ready to Move,2,Unknown,,3625.0,29.0,,,Carpet,Area
"2 BHK Apartment for Sale in Swastik Lake, Dindoli Surat",650.0,Resale,Ready to Move,Semi-Furnished,Unknown,,,25.0,1.0,5.0,Carpet,Area
1 BHK  House for Sale in Velanja Surat,432.0,New Property,Ready to Move,Unfurnished,South,"good Area, Good Society, Efforts Confortable, Value Of Money",3009.0,13.0,1.0,,Super,Area
Office Space for Sale in Adajan Surat,150.0,Resale,Ready to Move,Unknown,Unknown,It is a pre leased shop for 8 years and in adajan area near prime arcade. It is fully furnished.Read more,15600.0,39.0,1.0,1.0,Carpet,Area
2 BHK Apartment for Sale in Katar Gam Surat,570.0,Resale,Ready to Move,Unfurnished,East,fully airy corner side flat,4423.0,25.2,4.0,4.0,Super,Area
"3 BHK Apartment for Sale in Pragati Nagar, Piplod Surat",1355.0,Resale,Ready to Move,Unfurnished,South,Good locality,3100.0,42.0,5.0,7.0,Super,Area
Office Space for Sale in Nan Pura Surat,750.0,New Property,Ready to Move,1,Unknown,It's a 1st floor Power Of Attorney Commercial Office Space in a building of total 2 floors. The age of construction for this apartment Commercial Office Space is between Less than 5 years.Read more,6667.0,50.0,1.0,2.0,Carpet,Area
"1 BHK Builder Floor for Sale in Ambika Heaven, Dindoli, Surat Surat",504.0,Resale,Ready to Move,Semi-Furnished,Unknown,,3571.0,18.0,2.0,5.0,Super,Area
2 BHK Apartment for Sale in L P Savani Surat,1190.0,Resale,Ready to Move,Unfurnished,Unknown,It's a 3rd floor Multistorey Apartment in a building of total 4 floors. The age of construction for this Multistorey Apartment is between 5 to 10 years. Read more,2353.0,28.0,3.0,4.0,Super,Area
2 BHK  House for Sale in Kim Surat,700.0,Resale,Ready to Move,Unfurnished,Unknown,It is a relatively new property with construction age less than 5 yrs.Read more,2501.0,17.5,1.0,1.0,Super,Area
2 BHK Apartment for Sale in Adajan Surat,1084.0,Resale,Ready to Move,Semi-Furnished,Unknown,"Good Location, Well Maintain",3090.0,33.5,5.0,5.0,Super,Area
1 BHK  House for Sale in Palsana Surat,500.0,Resale,Ready to Move,Unfurnished,Unknown,,2400.0,12.0,1.0,,Super,Area
Shop for Sale in Udhna Surat,420.0,Resale,Ready to Move,Unknown,Unknown,,6667.0,28.0,3.0,,Super,Area
2 BHK Apartment for Sale in divyam residency Surat,800.0,Resale,Ready to Move,Unfurnished,Unknown,,2522.0,29.5,5.0,5.0,Carpet,Area
Plot/Land for Sale in Bhestan Surat,738.0,2,Resale,No,Unknown,"Superb location, great for residential purposes. A residential plot available in Bhestan, Surat available for immediate sale. This opportunity for investment should not be missed. Buy now to get maximum returns in future. Please contact immediately for more information. Read more",2710.0,20.0,2.0,,Plot,Area
2 BHK  House for Sale in Olpad Surat,650.0,New Property,Ready to Move,Unfurnished,Unknown,"This Residential House is built over 1 floors. The construction has been done keeping in view family needs for space & utility. Great deal, please contact immediately. The Residential House is newly constructed. Read more",3000.0,21.0,1.0,,Carpet,Area
2 BHK  House for Sale in Majura Gate Surat,90.0,Furnished,Ground out of 1,2,Unknown,,1.0,50.0,,,Carpet,Area
1 BHK Apartment for Sale in Sagrampura Surat,710.0,Resale,Ready to Move,Semi-Furnished,Unknown,,2607.0,18.5,2.0,3.0,Super,Area
Office Space for Sale in Marvella corridor Surat,221.0,Resale,Ready to Move,Unknown,Unknown,"Commercial office space is available for sale. It covered area of 221 sq-ft, it is a good location property. Please contact::::formore details.Read more",7692.0,17.0,2.0,3.0,Carpet,Area
2 BHK  House for Sale in midium Surat,600.0,Resale,Ready to Move,Unfurnished,Unknown,,3917.0,23.5,1.0,,Carpet,Area
2 BHK Apartment for Sale in Sumul Dairy Road Surat,1200.0,Resale,Ready to Move,Semi-Furnished,Unknown,,2500.0,30.0,4.0,4.0,Super,Area
"2 BHK Villa for Sale in Gruham Luxuria, Masma Village Surat",700.0,Unfurnished,Ready to Move,Gruham Luxuria,Unknown,,3501.0,24.5,,,Carpet,Area
3 BHK Apartment for Sale in Katargam Surat,1500.0,Resale,Ready to Move,Semi-Furnished,Unknown,This Multistorey Apartment is located at 4th floor in a building of total 7 floors. This spacious Multistorey Apartment was constructed approx. 15 to 20 years years back. Read more,3067.0,46.0,4.0,7.0,Super,Area
"2 BHK Apartment for Sale in Santvan Skyon, Palanpur Surat",1173.0,Resale,Ready to Move,Unfurnished,East,good quality materials use builder good parson society members,4007.0,47.0,14.0,14.0,Carpet,Area
"2 BHK Apartment for Sale in Shagun Residency, Jahangir Pura Surat",1228.0,Resale,Ready to Move,Semi-Furnished,East,"Unlock the charm of harmonious living with this 2 BHK flat for sale at Shagun Residency, Jahangir Pura, Surat. Featuring a construction age of 5 to 10 years, Vaastu compliance, and an east-facing orientation, this property promises a blend of modern comforts and traditional principles.::::::Property Specifications ::::::Step into luxury with this spacious 2 BHK flat spanning 1228 sqft, located on the 2nd floor of a 5-story building. The property features a semi-furnished layout, offering a comfortable and stylish living experience.::::::The flat includes 2 bedrooms with 1 attached bathroom and 1 common bathroom, both featuring Western fittings and equipped with geysers for hot water supply. Enjoy the scenic views from the attached balcony, overlooking the society's surroundings, perfect for relaxation and unwinding.::::::The flat boasts a separate living and dining area, providing ample space for entertainment and gatherings. The modern kitchen is equipped with a chimney, piped gas connection, and a utility area attached, ensuring convenience and functionality. Elegant vitrified tiles adorn the flooring, adding a touch of sophistication to the interiors.::::::Facilities ::::::Covered parking facilities are available for residents, ensuring the safety of vehicles. Enjoy 24-hour water supply from both borewell and corporation sources, along with a 100% power backup facility for uninterrupted living. The property is secured with the presence of a security guard, CCTV surveillance, and one lift for easy accessibility.::::::Locality ::::::Nestled in a serene and developed area, this neighborhood opposite Asaram Bapu Ashram bus stand on the main road. Within a 2 km radius, residents have access to schools for education and a river nearby. Healthcare needs are easily met with hospitals located within the same distance. ::::::For shopping and entertainment, malls, supermarkets, and a cinema theatre are conveniently situated within 2 km. Public transport options, including buses and autos, are readily available, making commuting hassle-free for residents. Banking facilities and ATMs are close by, offering convenient financial services to the residents. While the railway station is located 8 to 10 km away, it provides connectivity to other parts of the city and beyond, adding to the accessibility and convenience of the locality.::Read more",2850.0,35.0,2.0,5.0,Super,Area
2 BHK Apartment for Sale in Adajan Surat,1050.0,Resale,Ready to Move,Unfurnished,Unknown,,3333.0,35.0,4.0,4.0,Carpet,Area
2 BHK Apartment for Sale in Jahangir Pura Surat,485.0,Resale,Ready to Move,Unfurnished,North,"This property is in prime location Jahangirpura. Society celebrates all major festivals. Since this project is developed by Gujarat housing board, build quality is very good. If you search for 2bk flat in this area, you will not get anything below 30 lacs.  Since I am getting to many inquires, only serious buyer please contact.Read more",3333.0,20.0,11.0,13.0,Carpet,Area
Plot/Land for Sale in Kareli Surat,684.0,No,Resale,Unknown,Unknown,,1462.0,10.0,3.0,,Plot,Area
2 BHK Apartment for Sale in Kadodara Surat,650.0,Resale,Ready to Move,Unfurnished,Unknown,,2346.0,16.0,2.0,5.0,Carpet,Area
1 BHK Builder Floor for Sale in Amroli Surat,565.0,Resale,Ready to Move,Semi-Furnished,Unknown,,2124.0,12.0,4.0,5.0,Super,Area
2 BHK Apartment for Sale in Dahin Nagar Surat,1075.0,Resale,Ready to Move,Semi-Furnished,Unknown,,2791.0,30.0,1.0,6.0,Super,Area
2 BHK  House for Sale in Dindoli Surat,492.0,Resale,Ready to Move,Semi-Furnished,Unknown,,5894.0,29.0,1.0,,Super,Area
2 BHK Apartment for Sale in Adajan Surat,1147.0,Resale,Ready to Move,Furnished,East,"Fully Furnish with Modular kitchen and power back, Main road , corner building on prime location with Immediate saleRead more",3333.0,40.0,4.0,8.0,Carpet,Area
2 BHK Apartment for Sale in Adajan Surat,1405.0,Resale,Ready to Move,Furnished,Unknown,,3203.0,45.0,4.0,4.0,Super,Area
Shop for Sale in Amroli Surat,428.0,Resale,Ready to Move,Unknown,Unknown,,5374.0,23.0,1.0,4.0,Super,Area
Plot/Land for Sale in LP Savani Surat,2700.0,Unknown,Resale,Unknown,Unknown,,37.0,1.0,,,Plot,Area
